Word,Simplified grammatical category,Concretenes,Subjective Frequency,Imagery,AoA,Log frequency,Frequency
abafado,a,3.47,3.92,3.96,5.28,7.11,1220.00
abafador,a,5.73,2.84,5.10,7.25,4.41,82.00
abalado,a,2.61,4.12,3.59,7.62,8.15,3450.00
abalizado,a,3.88,2.58,3.56,7.59,4.36,78.00
abandonado,a,3.68,4.16,3.97,5.24,9.75,17183.00
abarrotado,a,4.14,3.26,4.00,7.13,5.18,177.00
abastado,a,4.26,2.77,4.07,6.61,6.75,858.00
abastardado,a,4.02,2.72,4.04,7.92,2.94,19.00
abatido,a,4.17,4.05,4.33,5.39,8.57,5248.00
abaulado,a,4.69,2.65,4.41,6.50,4.04,57.00
abençoado,a,3.34,4.12,4.07,6.67,7.41,1658.00
aberto,a,4.21,4.90,4.17,5.23,11.37,87055.00
abespinhado,a,4.08,2.78,4.07,7.56,3.00,20.00
abestado,a,4.16,2.87,4.28,7.41,3.18,24.00
abestalhado,a,4.12,2.99,4.19,7.66,3.14,23.00
abilolado,a,4.37,2.76,4.41,7.36,2.40,11.00
abismado,a,3.84,3.64,4.51,7.62,5.15,173.00
abnegado,a,2.67,2.89,2.96,9.00,5.26,193.00
abobado,a,4.24,2.92,4.39,7.49,4.01,55.00
abobalhado,a,3.58,3.05,3.85,7.48,3.64,38.00
abocanhado,a,4.25,2.54,4.11,7.79,3.76,43.00
abolido,a,3.55,2.87,3.32,7.17,7.58,1960.00
abonado,a,3.89,3.21,3.98,6.83,4.30,74.00
aborrecedor,a,4.15,2.93,4.22,7.45,2.56,13.00
aborrecido,a,3.10,4.88,3.88,5.21,7.87,2617.00
abortivo,a,4.18,2.53,4.03,7.65,4.77,118.00
abraçado,a,4.17,3.81,4.53,6.01,7.13,1251.00
abrasador,a,4.04,2.92,4.13,6.47,5.28,196.00
abrasileirado,a,4.50,2.74,4.41,7.45,3.37,29.00
abrasivo,a,4.07,2.96,4.01,8.11,5.88,358.00
abreviado,a,4.19,3.18,3.64,6.60,8.03,3084.00
abrigado,a,4.17,2.96,4.27,6.83,6.87,960.00
abrutalhado,a,4.20,2.84,4.27,7.39,2.71,15.00
absoluto,a,2.62,4.38,2.96,6.64,9.88,19574.00
abstrato,a,3.18,3.72,3.55,7.19,7.67,2144.00
absurdo,a,2.34,4.87,3.02,6.41,9.48,13139.00
abusivo,a,2.72,3.71,3.08,7.70,7.90,2687.00
acabado,a,3.89,5.12,4.31,4.63,9.89,19745.00
acabrunhado,a,3.15,2.77,3.51,7.81,5.26,192.00
acadêmico,a,4.04,4.12,4.02,7.10,9.14,9324.00
acalorado,a,3.24,2.96,3.19,8.15,5.87,355.00
acamado,a,5.18,3.22,4.69,7.75,5.42,227.00
acampado,a,4.84,2.96,4.70,7.52,6.24,514.00
acanhado,a,3.49,3.52,3.73,5.98,6.44,625.00
acastanhado,a,5.49,3.10,5.19,6.41,5.51,248.00
acautelado,a,3.47,3.09,3.43,8.73,5.43,228.00
acavalado,a,4.34,2.73,4.25,7.52,2.30,10.00
acebolado,a,4.74,2.81,4.52,6.76,3.69,40.00
acéfalo,a,4.03,2.76,4.02,7.23,4.82,124.00
aceito,a,2.93,4.74,3.15,6.14,9.67,15881.00
acelerado,a,3.03,3.98,3.45,7.82,8.89,7291.00
acentuado,a,3.13,3.80,3.19,6.79,8.59,5358.00
acerbo,a,3.43,2.43,3.58,8.40,4.80,122.00
acertado,a,3.74,4.27,3.48,6.00,8.68,5894.00
aceso,a,4.25,4.21,4.27,6.01,7.64,2070.00
acessório,a,4.53,4.21,4.07,7.04,8.11,3341.00
acético,a,4.26,2.61,3.71,7.56,7.00,1098.00
acetinado,a,4.91,2.83,4.53,8.02,4.96,143.00
achado,a,4.36,4.43,4.43,5.33,8.84,6920.00
achatado,a,5.29,3.63,4.84,6.20,6.80,894.00
achocolatado,a,5.77,3.80,5.39,6.74,5.84,345.00
ácido,a,4.74,4.52,4.29,6.12,10.14,25369.00
acintoso,a,3.05,2.69,3.23,8.48,4.17,65.00
acinzentado,a,5.49,3.16,5.07,7.42,6.01,406.00
acionário,a,4.21,2.67,3.68,8.58,7.44,1702.00
acirrado,a,3.02,2.90,3.30,8.04,6.20,494.00
aclarado,a,3.41,2.51,3.47,8.16,3.64,38.00
acobreado,a,4.73,2.47,4.50,6.62,3.56,35.00
açodado,a,3.64,2.41,3.59,8.42,4.06,58.00
acolchoado,a,5.93,3.12,5.36,5.86,5.42,225.00
acomodado,a,3.86,3.62,4.23,6.34,6.52,676.00
acompanhado,a,4.67,5.02,4.36,4.61,10.58,39371.00
aconchegado,a,4.38,2.93,4.52,6.89,4.43,84.00
acoplado,a,4.97,3.07,4.18,6.55,7.27,1432.00
acordado,a,4.03,4.81,4.04,5.61,9.65,15592.00
açoriano,a,4.77,2.68,4.43,7.17,7.94,2812.00
acorrentado,a,5.38,3.19,5.07,7.44,6.55,701.00
acostumado,a,3.52,4.57,4.05,5.61,8.65,5703.00
acovardado,a,2.85,2.57,2.94,7.67,4.62,101.00
acreditado,a,3.47,3.68,3.77,7.52,7.66,2126.00
acriançado,a,4.31,2.71,4.32,7.50,2.08,8.00
acriano,a,4.05,2.05,3.54,9.18,5.56,261.00
acromático,a,4.46,2.80,4.12,7.62,4.01,55.00
acuado,a,3.73,2.98,3.70,7.06,6.68,800.00
açucarado,a,4.52,2.91,4.56,6.57,5.93,376.00
acumulativo,a,3.56,2.89,3.55,7.99,3.99,54.00
acurado,a,2.89,2.99,3.09,8.63,5.42,225.00
acusado,a,4.07,4.25,4.03,5.76,10.64,41868.00
acusatório,a,4.00,2.85,3.98,7.09,5.92,374.00
acústico,a,4.18,3.53,4.33,7.53,8.53,5083.00
acutângulo,a,4.45,2.50,4.30,7.54,2.56,13.00
adamascado,a,4.70,2.36,4.47,7.47,2.77,16.00
adequado,a,3.07,4.99,2.76,6.56,10.65,42151.00
adesivo,a,5.77,3.97,5.04,5.61,7.45,1724.00
adiantado,a,4.20,4.31,3.91,6.08,8.55,5188.00
adiposo,a,5.57,2.77,4.87,7.84,6.56,703.00
aditivado,a,4.55,2.88,4.53,7.42,3.40,30.00
aditivo,a,4.74,3.37,3.81,7.06,8.39,4414.00
adjunto,a,4.90,3.72,4.05,6.12,9.51,13473.00
administrativo,a,3.94,3.92,3.67,6.64,10.36,31662.00
admirado,a,2.96,4.24,3.51,5.73,7.95,2823.00
admirativo,a,4.36,2.59,4.16,7.01,3.22,25.00
admitido,a,3.53,3.71,3.23,7.59,8.82,6788.00
adocicado,a,4.19,3.64,4.27,7.00,6.17,477.00
adoentado,a,4.24,3.04,4.26,7.65,5.28,196.00
adoidado,a,4.18,3.09,4.84,6.51,5.12,168.00
adotivo,a,4.44,3.01,4.27,6.14,7.66,2125.00
adriático,a,5.12,2.94,4.91,5.79,7.85,2572.00
aduaneiro,a,4.23,3.03,3.80,7.53,9.33,11297.00
adulterado,a,4.52,3.71,4.34,7.16,6.48,654.00
adverso,a,2.64,3.48,3.11,7.84,7.54,1874.00
advocatício,a,4.60,2.75,4.50,7.24,2.89,18.00
aéreo,a,4.46,3.92,4.51,6.27,10.33,30671.00
aeróbico,a,3.63,2.96,3.67,7.99,5.37,215.00
aeróbio,a,3.64,2.47,3.54,7.77,4.33,76.00
aerodinâmico,a,3.87,3.30,3.76,6.72,6.82,920.00
aeroviário,a,3.77,2.27,3.47,10.31,5.20,182.00
aético,a,4.27,2.75,4.14,7.69,2.94,19.00
afamado,a,4.00,2.83,3.95,8.25,6.45,635.00
afásico,a,4.41,2.53,4.31,7.73,2.64,14.00
afastado,a,2.98,4.40,3.26,6.14,10.07,23513.00
afeiçoado,a,3.19,3.36,3.58,7.91,5.28,197.00
afeito,a,3.00,3.32,3.49,6.37,5.91,369.00
aferrado,a,3.43,2.56,3.52,8.92,3.81,45.00
aferrolhado,a,4.33,2.74,4.28,7.21,3.40,30.00
afetado,a,2.83,4.36,3.41,7.18,8.73,6210.00
afetivo,a,2.57,3.64,3.24,7.34,6.75,854.00
afetuoso,a,3.23,3.74,3.69,6.53,5.99,400.00
afiado,a,4.39,3.85,4.44,5.84,6.96,1058.00
afinado,a,3.96,3.63,3.89,6.61,6.78,884.00
afinar,a,4.20,3.37,3.97,6.23,6.97,1060.00
afirmativo,a,3.76,3.52,3.61,7.90,7.99,2958.00
afixo,a,4.18,2.39,3.91,7.76,3.93,51.00
aflitivo,a,2.84,3.17,3.16,7.68,5.22,185.00
afobado,a,4.03,2.93,4.06,6.91,5.16,175.00
afogador,a,4.99,2.83,4.61,7.35,4.09,60.00
afogueado,a,4.76,2.80,4.69,6.77,4.69,109.00
afoito,a,3.48,3.29,3.49,7.13,5.62,277.00
afônico,a,4.87,2.67,4.68,7.52,3.37,29.00
afro-americano,a,4.73,2.77,4.61,7.69,7.15,1268.00
afro-brasileiro,a,3.46,2.42,3.69,7.74,5.66,287.00
afrodescendente,a,4.13,2.46,4.02,7.85,5.30,201.00
afrontado,a,3.70,2.51,3.86,6.91,4.84,127.00
